p cnf 155 659
-1 -72 28 0
1 123 96 0
128 -1 46 0
-1 38 -73 0
-1 148 -31 0
-1 98 62 0
-1 -26 44 0
-1 95 65 0
93 1 26 0
1 24 -73 0
-1 -126 -35 0
-1 -94 -44 0
-85 1 -33 0
-103 -2 81 0
152 2 28 0
50 2 47 0
-145 -2 105 0
-2 106 -74 0
2 -41 62 0
2 -32 -23 0
32 2 99 0
152 3 -44 0
-56 -3 106 0
-3 -63 -149 0
18 -3 155 0
-3 11 120 0
-69 -3 54 0
3 73 150 0
110 -3 -121 0
-10 3 83 0
-68 3 -142 0
-85 3 -63 0
57 -3 -75 0
-40 3 -82 0
-126 -4 -22 0
128 -4 83 0
-124 -4 132 0
42 4 -83 0
-51 4 -20 0
100 -4 -99 0
-136 -5 -113 0
106 -5 -104 0
35 -5 -73 0
-124 -5 -132 0
5 -135 -52 0
-59 5 143 0
64 5 -20 0
131 -5 151 0
35 5 -7 0
43 -5 96 0
-5 66 -6 0
-155 -6 -134 0
-130 6 -67 0
-28 6 75 0
-6 -67 -75 0
-51 -6 134 0
58 -6 105 0
-127 7 97 0
102 8 151 0
-110 8 -132 0
8 -40 -52 0
8 -73 150 0
8 146 -32 0
8 -18 -14 0
-8 -116 105 0
8 -58 -4 0
-8 129 -118 0
-8 -109 -3 0
-8 -148 -99 0
8 -83 -97 0
9 116 7 0
-9 133 -114 0
9 -109 -54 0
9 -113 142 0
-25 9 -62 0
51 9 -41 0
9 98 122 0
-9 -71 -86 0
-9 84 -121 0
-9 29 115 0
-9 -41 -106 0
110 -9 55 0
50 10 -120 0
-119 -10 -13 0
-144 -10 -22 0
10 -80 -151 0
10 -52 15 0
144 -10 142 0
-10 3 83 0
-59 -10 -89 0
-10 23 113 0
152 11 -151 0
-3 11 120 0
42 -12 -37 0
-27 12 -105 0
100 12 97 0
110 12 20 0
-12 54 13 0
-87 12 75 0
-25 -12 99 0
-147 12 -7 0
101 12 97 0
-93 12 62 0
-55 -13 142 0
70 -13 99 0
84 -13 -60 0
89 -13 97 0
-119 -13 60 0
13 -31 -30 0
87 -14 67 0
-14 53 96 0
-116 -14 104 0
-16 14 66 0
16 28 104 0
-103 -16 -120 0
-16 14 66 0
16 -108 -28 0
16 -126 -74 0
84 -16 -33 0
-24 16 -55 0
16 87 20 0
16 -139 117 0
17 -24 -104 0
-17 131 -4 0
-17 145 -30 0
-17 -88 45 0
59 -17 -79 0
-17 -24 -36 0
17 25 -73 0
17 -92 -105 0
-85 -17 88 0
17 -146 -114 0
57 -18 -120 0
-128 -18 -63 0
-18 135 104 0
18 -3 155 0
-18 -88 -36 0
8 -18 -14 0
-18 86 -121 0
-18 -61 -97 0
