p cnf 155 659
1 -12 120 0
-1 -20 -45 0
-1 -141 97 0
1 -29 -149 0
127 -1 101 0
-8 1 111 0
1 40 -75 0
-1 70 36 0
34 1 -116 0
-1 40 -149 0
-1 -33 -12 0
58 -1 44 0
1 -57 48 0
103 -1 -7 0
2 39 -88 0
-16 2 97 0
-77 2 -29 0
-128 2 86 0
17 -2 -106 0
129 -2 -150 0
2 -29 -55 0
25 -2 -64 0
-2 -41 97 0
-56 3 38 0
-3 133 -36 0
-34 -3 -114 0
154 3 31 0
93 -3 53 0
-137 3 -33 0
-155 3 80 0
-3 73 104 0
-92 3 -134 0
-101 3 -112 0
3 -147 -15 0
3 113 -52 0
3 -123 -73 0
-137 3 21 0
51 -4 14 0
-11 4 -150 0
85 -4 -44 0
146 4 141 0
-79 4 -123 0
-101 4 -61 0
-130 4 -22 0
-4 36 -7 0
153 4 -61 0
-131 -4 39 0
-43 -5 91 0
-5 -53 143 0
-16 -5 45 0
73 5 23 0
130 6 61 0
-6 7 -37 0
126 -6 -37 0
11 6 -75 0
-6 7 -37 0
-8 136 -86 0
-8 -84 134 0
-8 40 -36 0
-8 76 117 0
-8 1 111 0
-8 42 27 0
8 125 -33 0
8 -72 82 0
-8 78 15 0
8 -78 79 0
-8 149 -37 0
129 8 44 0
9 -100 6 0
59 -9 78 0
-9 -20 52 0
-9 126 47 0
-85 9 -90 0
-9 126 -15 0
152 -9 -15 0
-9 105 30 0
-85 9 112 0
-9 -95 47 0
-9 -130 -134 0
-9 -108 36 0
-9 33 -13 0
-144 9 66 0
59 -9 37 0
9 10 135 0
-153 -10 -141 0
-10 94 122 0
77 -10 88 0
-10 -104 -150 0
-40 10 -11 0
-125 10 -65 0
9 10 135 0
-108 10 -13 0
11 99 -36 0
-11 4 -150 0
-11 64 -143 0
59 -11 -130 0
-152 -11 -132 0
-40 -11 5 0
-11 22 142 0
-69 -11 20 0
136 -11 149 0
11 6 -75 0
-12 -106 -148 0
12 -55 53 0
1 -12 120 0
48 -12 -14 0
12 -44 67 0
137 -12 -72 0
-126 12 13 0
-49 -12 -148 0
13 22 -75 0
13 -52 -7 0
38 -13 134 0
-87 13 -23 0
100 13 -66 0
-57 -13 -66 0
62 14 -121 0
-68 14 -90 0
-148 14 -7 0
-85 -15 -120 0
-84 15 -37 0
-126 -16 4 0
-16 27 28 0
-16 2 97 0
51 -16 -14 0
16 21 62 0
-77 -16 108 0
16 87 -109 0
-16 -5 45 0
93 -16 -86 0
-16 154 12 0
50 -16 53 0
-153 16 -58 0
-93 16 26 0
50 16 -55 0
16 140 6 0
-85 16 -154 0
-17 -110 -134 0
-17 19 82 0
-17 147 -121 0
-17 57 -155 0
-17 100 41 0
17 26 106 0
-17 -145 23 0
-17 118 112 0
-17 43 -5 0
17 100 -88 0
-17 80 22 0
17 -2 -106 0
-17 -130 -120 0
-17 -127 -20 0
17 -137 80 0
17 134 -151 0
144 17 -154 0
17 108 -121 0
17 39 -149 0
-17 -100 -15 0
-17 -110 63 0
17 92 36 0
-17 25 -56 0
17 58 -135 0
-17 -49 -21 0
18 104 -142 0
-78 -18 53 0
18 -98 -55 0
-18 -135 45 0
-18 -30 -134 0
33 18 62 0
101 -18 114 0
-125 -18 13 0
-19 -94 45 0
-17 19 82 0
152 19 57 0
42 19 52 0
-19 -106 36 0
-19 116 29 0
19 48 -73 0
-9 -20 52 0
-1 -20 -45 0
64 -20 -112 0
-71 20 142 0
21 89 -45 0
50 -21 96 0
43 -21 -122 0
16 21 62 0
32 21 148 0
-153 -21 44 0
21 150 -105 0
13 22 -75 0
-11 22 142 0
65 22 30 0
115 -23 22 0
23 -104 -142 0
-23 52 15 0
-154 -23 67 0
24 41 90 0
-24 35 79 0
-68 24 -11 0
-24 -79 -94 0
-153 24 11 0
24 -155 96 0
25 70 -29 0
-25 72 63 0
-25 -116 56 0
-25 -27 -3 0
-25 -28 -113 0
25 -2 -64 0
-17 25 -56 0
-25 -63 -45 0
-59 -25 43 0
-26 41 -151 0
79 26 83 0
17 26 106 0
58 26 56 0
-26 -138 22 0
26 46 -88 0
-129 -26 148 0
-26 -147 -123 0
26 99 60 0
-26 115 143 0
-26 -48 -75 0
-27 -80 -96 0
-16 27 28 0
-27 -138 116 0
118 -27 117 0
49 27 -91 0
129 -27 -108 0
-25 -27 -3 0
108 27 -7 0
-27 44 -37 0
-99 28 -121 0
101 -28 -122 0
-25 -28 -113 0
84 28 -104 0
154 -29 -22 0
-154 29 30 0
1 -29 -149 0
29 53 -90 0
2 -29 -55 0
29 -113 6 0
-18 -30 -134 0
145 -30 -82 0
31 151 30 0
-77 -31 67 0
77 -32 -82 0
-32 147 -29 0
32 21 148 0
32 -61 -97 0
32 70 -89 0
32 57 -73 0
-32 -46 37 0
32 130 -123 0
48 -33 6 0
-33 38 150 0
-33 -124 46 0
-9 33 -13 0
-1 -33 -12 0
43 33 38 0
33 18 62 0
-102 34 -121 0
-34 -3 -114 0
-137 -34 -12 0
127 34 -148 0
34 -84 37 0
-119 34 -76 0
-34 64 -106 0
34 1 -116 0
-34 -88 -121 0
144 -34 154 0
-34 -89 37 0
34 -101 151 0
-34 -116 38 0
35 82 67 0
-35 79 -33 0
35 133 14 0
-24 35 79 0
68 -35 -49 0
35 -138 -55 0
51 35 73 0
35 103 139 0
-107 36 -14 0
-4 36 -7 0
46 36 -121 0
-43 37 30 0
121 37 82 0
-93 38 66 0
-59 38 88 0
-116 38 -115 0
-127 38 -140 0
-33 38 150 0
-108 38 13 0
38 -13 134 0
70 38 23 0
38 39 15 0
2 39 -88 0
95 39 151 0
-71 -39 -54 0
56 -39 150 0
17 39 -149 0
38 39 15 0
92 -40 -155 0
40 -65 -22 0
111 -40 -23 0
-152 -40 -52 0
-8 40 -36 0
-131 40 -78 0
-40 71 61 0
1 40 -75 0
108 40 88 0
-40 -11 5 0
-1 40 -149 0
40 -113 -45 0
-40 10 -11 0
136 -40 4 0
-26 41 -151 0
103 -41 101 0
-41 121 -52 0
-41 61 66 0
24 41 90 0
50 -41 -61 0
-41 138 39 0
-125 -41 6 0
-2 -41 97 0
-41 -45 67 0
-42 -149 -23 0
-42 -51 -40 0
-8 42 27 0
42 19 52 0
42 -77 109 0
-42 148 -149 0
-42 -57 -33 0
-43 37 30 0
43 -21 -122 0
-43 58 -143 0
-43 126 -139 0
-17 43 -5 0
-43 -5 91 0
43 -125 -123 0
-59 43 122 0
-43 -147 -115 0
43 107 -75 0
43 65 90 0
43 136 -61 0
43 33 38 0
12 -44 67 0
-107 44 37 0
-27 44 -37 0
-41 -45 67 0
50 46 22 0
46 -107 66 0
79 -46 -90 0
26 46 -88 0
-136 46 36 0
-32 -46 37 0
46 36 -121 0
-141 47 67 0
47 113 -37 0
89 47 13 0
48 -33 6 0
48 86 82 0
48 -12 -14 0
146 -48 114 0
-145 -48 -91 0
136 -48 -61 0
-26 -48 -75 0
-50 48 62 0
19 48 -73 0
-50 -48 135 0
84 -48 -140 0
-49 107 -121 0
136 49 143 0
49 -100 -52 0
126 49 64 0
49 27 -91 0
-49 81 73 0
-49 -12 -148 0
137 49 -96 0
-17 -49 -21 0
50 46 22 0
50 -21 96 0
50 77 130 0
-50 -117 -39 0
68 50 63 0
50 83 -112 0
-93 -50 153 0
50 -16 53 0
50 -41 -61 0
50 -81 -91 0
-50 -123 105 0
50 16 -55 0
-50 48 62 0
-50 -48 135 0
50 70 -113 0
-51 -100 -81 0
51 -4 14 0
51 -16 -14 0
-42 -51 -40 0
51 106 -38 0
144 -51 -87 0
-51 118 -112 0
-51 94 -99 0
51 -141 98 0
-51 119 -10 0
-51 -64 54 0
51 -98 -122 0
51 113 90 0
51 35 73 0
51 131 12 0
13 -52 -7 0
100 52 22 0
-23 52 15 0
104 52 -67 0
-5 -53 143 0
29 53 -90 0
-145 -53 -112 0
-91 -53 113 0
-66 53 -151 0
-147 -54 74 0
-123 54 -62 0
110 -54 -143 0
-131 54 151 0
-117 54 -105 0
-94 54 62 0
54 -74 -142 0
-65 54 80 0
56 54 37 0
-79 54 143 0
-54 65 -53 0
86 54 75 0
12 -55 53 0
126 -55 -6 0
76 -55 115 0
-128 55 -15 0
-144 55 -53 0
129 -55 -20 0
-56 3 38 0
56 73 82 0
-56 -132 -113 0
-56 -149 53 0
131 -56 -105 0
-70 56 62 0
56 -94 6 0
56 -39 150 0
102 56 -65 0
56 54 37 0
-111 56 -37 0
-56 -80 107 0
56 80 134 0
-95 57 -106 0
-57 -63 29 0
-17 57 -155 0
-57 -123 149 0
57 71 151 0
128 57 89 0
32 57 -73 0
-85 57 -23 0
1 -57 48 0
-42 -57 -33 0
-57 -13 -66 0
119 58 88 0
-58 62 90 0
-43 58 -143 0
58 26 56 0
-137 -58 -104 0
-58 153 -48 0
-58 -77 135 0
152 58 131 0
58 73 -112 0
58 -1 44 0
17 58 -135 0
