p cnf 155 659
1 -123 30 0
-103 -1 96 0
1 -149 67 0
-136 -1 -33 0
1 -4 99 0
-1 115 -23 0
-1 -13 36 0
119 1 -92 0
-1 73 14 0
-1 153 80 0
-1 18 65 0
-153 -1 -125 0
-1 -70 20 0
1 -4 -96 0
1 -86 -121 0
1 -118 80 0
-1 -2 -130 0
-1 21 -82 0
-136 -1 -6 0
128 -1 -150 0
-68 -1 57 0
-1 -140 -112 0
2 -116 143 0
2 48 120 0
8 2 151 0
111 2 -73 0
25 -2 -6 0
2 33 -106 0
-2 21 -52 0
-1 -2 -130 0
110 2 -48 0
68 2 88 0
-2 88 151 0
2 -54 -113 0
51 3 82 0
-41 -3 114 0
-3 20 -37 0
-92 3 -80 0
146 3 -155 0
139 3 4 0
-42 -3 -120 0
9 3 104 0
-3 99 -45 0
-56 3 74 0
-3 -46 -21 0
-9 3 116 0
-69 3 -109 0
71 -3 88 0
-59 4 -13 0
4 54 105 0
4 5 62 0
1 -4 99 0
4 107 -7 0
126 4 -74 0
1 -4 -96 0
-4 -15 30 0
-100 -4 -6 0
-102 -5 -134 0
4 5 62 0
-42 5 -122 0
8 5 -91 0
5 -45 -52 0
5 107 -149 0
88 5 -134 0
85 5 -134 0
5 6 66 0
-9 -5 37 0
-41 -6 14 0
137 -6 105 0
42 6 -75 0
49 6 67 0
5 6 66 0
48 -7 -134 0
29 -7 97 0
8 5 -91 0
51 8 -124 0
8 2 151 0
-8 -76 -145 0
8 81 -61 0
-8 152 -1 0
-93 8 113 0
-8 57 -22 0
-8 -24 29 0
8 31 -120 0
110 8 -129 0
8 107 105 0
93 -8 141 0
119 -9 -52 0
9 -29 -75 0
85 9 -81 0
9 3 104 0
-110 -9 -122 0
9 39 60 0
9 -56 -15 0
-9 -79 114 0
9 -40 73 0
-9 100 -81 0
-9 3 116 0
-17 -9 -55 0
-9 -5 37 0
10 13 121 0
-10 98 141 0
35 -10 -31 0
-51 -10 -28 0
10 -155 18 0
10 100 13 0
-17 -10 30 0
-10 -28 54 0
-10 -132 60 0
-10 33 74 0
10 -147 -140 0
70 11 -122 0
152 11 -4 0
87 -11 -143 0
-58 -11 -83 0
-70 11 -33 0
93 -11 -133 0
85 11 -133 0
68 11 6 0
-11 81 -15 0
-12 -30 -15 0
-85 12 -107 0
-12 -62 82 0
86 12 37 0
102 12 140 0
12 53 60 0
-12 -140 97 0
12 -105 -151 0
-155 12 149 0
10 13 121 0
-50 -13 -60 0
39 13 7 0
-1 -13 36 0
41 13 62 0
149 13 -44 0
-117 -13 -140 0
-13 47 62 0
111 -13 -14 0
-80 -13 104 0
93 14 -134 0
133 -14 7 0
77 14 52 0
104 14 15 0
-14 -53 82 0
-154 -14 -30 0
-4 -15 30 0
16 -31 22 0
-16 -61 -82 0
77 -16 39 0
-16 155 -121 0
-16 -100 48 0
-129 16 -24 0
-93 -16 28 0
-51 16 52 0
-69 -16 -81 0
-16 70 -116 0
-152 -16 30 0
16 32 -55 0
17 -87 -133 0
-17 24 -98 0
17 -117 132 0
-17 19 60 0
-17 37 -120 0
-17 70 115 0
-68 17 -47 0
17 153 20 0
17 -141 -104 0
-17 -10 30 0
17 154 47 0
-17 -87 90 0
17 -77 14 0
-17 108 15 0
17 128 -138 0
-17 99 121 0
-17 95 22 0
-17 -139 23 0
-17 -9 -55 0
17 77 46 0
-17 -31 142 0
-18 -67 112 0
18 -113 -142 0
79 -18 -29 0
18 -79 -67 0
18 64 -97 0
-139 -18 89 0
32 18 -64 0
100 18 31 0
-1 18 65 0
-18 -107 -82 0
-18 -99 -23 0
18 -83 23 0
18 -101 107 0
-17 19 60 0
19 -41 147 0
50 19 -135 0
-43 19 4 0
19 -135 120 0
126 19 -66 0
-32 20 -151 0
-3 20 -37 0
-20 66 142 0
-116 -20 113 0
-20 -44 -82 0
127 21 -105 0
-85 21 -96 0
-139 -21 -14 0
-147 21 114 0
50 21 74 0
21 -96 -151 0
-2 21 -52 0
-1 21 -82 0
125 22 -120 0
24 -145 -80 0
-126 24 -139 0
-17 24 -98 0
110 -24 -142 0
24 133 -39 0
128 -24 142 0
-68 -24 55 0
24 -57 105 0
-24 89 -98 0
-24 -86 15 0
-8 -24 29 0
24 26 133 0
24 -83 82 0
-51 24 -31 0
24 -155 -7 0
-25 155 -132 0
25 -116 -29 0
25 116 148 0
25 -2 -6 0
25 139 -14 0
-25 -137 52 0
119 25 -48 0
25 91 44 0
-25 -129 -46 0
25 130 91 0
-25 -127 -18 0
25 98 54 0
-25 106 -99 0
42 -26 73 0
26 -98 -62 0
26 -64 80 0
-68 26 -4 0
-26 64 -23 0
26 121 142 0
24 26 133 0
139 26 115 0
-27 -81 -44 0
-145 27 150 0
131 27 -56 0
-131 27 -149 0
146 28 -15 0
-10 -28 54 0
111 -29 -91 0
-109 29 47 0
29 -7 97 0
9 -29 -75 0
79 29 -60 0
119 -29 -82 0
127 29 37 0
106 29 107 0
-12 -30 -15 0
36 -30 15 0
-149 -30 112 0
16 -31 22 0
114 -31 66 0
-144 -31 37 0
8 31 -120 0
-17 -31 142 0
144 32 -123 0
-32 -121 -142 0
-136 32 -47 0
-32 20 -151 0
40 -32 -90 0
-126 -32 114 0
-119 -32 20 0
32 18 -64 0
-32 -101 -4 0
34 -32 -64 0
-32 86 121 0
-95 -32 23 0
-127 -32 6 0
16 32 -55 0
-146 -33 -114 0
33 -97 -30 0
76 33 -60 0
-33 -61 66 0
2 33 -106 0
-58 -33 97 0
-10 33 74 0
33 -48 -47 0
-34 -78 -122 0
-34 -57 66 0
34 119 -108 0
34 -64 -60 0
34 117 88 0
34 -118 -141 0
110 34 -76 0
34 -32 -64 0
-34 137 23 0
129 34 -136 0
-34 -126 -31 0
35 -10 -31 0
-102 -35 22 0
35 -92 11 0
