p cnf 170 723
85 1 74 0
1 48 -26 0
1 -138 -6 0
1 -32 107 0
1 150 -151 0
-42 1 11 0
-1 -116 -66 0
1 -47 -30 0
-1 101 141 0
1 -71 156 0
1 169 120 0
1 -29 -90 0
8 -1 -47 0
1 -160 -81 0
-1 -92 -115 0
2 -79 98 0
-68 2 -66 0
2 -80 13 0
2 -146 157 0
-111 -2 -96 0
-2 100 80 0
-27 -2 -29 0
2 74 135 0
-16 2 138 0
-2 -18 133 0
-2 -88 -112 0
-128 -2 113 0
76 2 -164 0
3 29 -74 0
-139 3 74 0
69 3 86 0
3 138 53 0
136 -3 88 0
17 3 88 0
102 3 121 0
125 3 130 0
3 -81 133 0
77 4 -120 0
4 -63 -156 0
169 4 -143 0
-58 4 47 0
34 4 6 0
-138 -4 14 0
-69 4 150 0
4 -167 -122 0
-147 -4 -112 0
4 -21 -159 0
-5 -91 -7 0
160 5 13 0
49 -5 -120 0
127 -5 -121 0
38 -5 -143 0
87 5 -91 0
33 -5 151 0
29 -5 -105 0
-170 -5 14 0
102 -5 -113 0
42 -6 -120 0
69 -6 -37 0
138 -6 -165 0
57 6 -151 0
-18 -6 45 0
58 7 -90 0
-8 133 7 0
8 148 134 0
-85 8 160 0
8 169 -150 0
34 8 91 0
8 168 -30 0
8 92 -150 0
8 -56 53 0
8 -58 49 0
8 -1 -47 0
-8 123 164 0
-8 39 -7 0
9 40 -88 0
9 138 -140 0
-9 -146 79 0
-144 9 130 0
-9 -104 -67 0
163 -9 -13 0
9 23 -53 0
9 78 120 0
-17 -9 32 0
-10 140 142 0
145 -10 55 0
43 10 100 0
10 -44 60 0
-162 -10 54 0
10 46 -62 0
10 -61 -15 0
49 -10 29 0
34 -10 81 0
-119 11 29 0
-11 168 -107 0
11 98 52 0
93 -11 -89 0
-11 148 -72 0
-11 31 -22 0
-11 -67 97 0
70 11 54 0
49 11 4 0
11 -62 151 0
170 -12 -132 0
55 12 39 0
-101 12 134 0
-12 -83 -67 0
12 158 97 0
-93 12 -65 0
110 -12 -143 0
125 -12 135 0
163 -12 -114 0
-13 20 -28 0
102 13 -150 0
106 13 31 0
-13 -44 82 0
13 -112 151 0
-39 13 -14 0
-145 -13 -20 0
84 14 151 0
-100 -14 -82 0
-24 -16 -87 0
-16 133 -63 0
16 141 -7 0
16 70 23 0
92 16 14 0
16 -55 -107 0
-16 -141 105 0
16 -86 38 0
-16 32 62 0
-16 2 138 0
-16 153 122 0
-128 -16 156 0
110 -17 116 0
-17 78 -114 0
17 -58 -77 0
-17 -157 114 0
17 63 104 0
-17 -72 80 0
102 -17 54 0
-17 106 -74 0
17 -110 -170 0
17 3 88 0
-17 -67 -7 0
-17 -64 -104 0
-17 -9 32 0
17 146 -166 0
-17 -162 47 0
102 -18 -141 0
-111 18 -55 0
102 -18 -30 0
-18 -156 31 0
-69 18 -46 0
-18 -6 45 0
-2 -18 133 0
18 33 -83 0
-49 -18 74 0
19 26 80 0
85 19 -38 0
-102 19 7 0
-170 19 -99 0
58 -19 168 0
-19 -156 157 0
-19 54 -135 0
119 -19 -86 0
19 154 65 0
-19 87 52 0
19 31 -105 0
19 -158 75 0
-145 19 -46 0
51 -19 -150 0
-40 19 -47 0
-76 -19 39 0
170 19 -82 0
155 -20 -104 0
-13 20 -28 0
-114 20 135 0
-49 20 96 0
20 -73 -15 0
26 21 -39 0
33 21 -157 0
4 -21 -159 0
28 22 -45 0
23 -150 -90 0
-118 23 -91 0
-29 -23 90 0
9 23 -53 0
146 23 -53 0
138 -23 -53 0
-83 23 159 0
-24 -167 -73 0
-24 -60 82 0
