p cnf 170 723
-1 -131 53 0
50 -1 -105 0
-1 20 -99 0
-1 -121 -22 0
-1 -89 -74 0
-1 19 167 0
1 153 -99 0
1 -116 48 0
25 -1 136 0
111 -1 65 0
1 -63 6 0
111 1 -115 0
2 101 116 0
25 -2 157 0
-2 -98 83 0
-2 -67 82 0
-2 4 6 0
2 -138 112 0
2 -158 -97 0
2 -19 -4 0
58 -2 -65 0
-2 53 90 0
-2 -11 105 0
2 -115 -166 0
-2 72 133 0
-2 -64 46 0
162 2 78 0
32 -2 56 0
2 -131 -3 0
-10 -3 -67 0
42 3 120 0
130 -3 -81 0
-19 3 -156 0
50 -3 -165 0
-2 4 6 0
5 149 73 0
-148 5 65 0
18 5 -157 0
-77 5 96 0
-38 5 -166 0
-24 5 6 0
-11 -5 -45 0
5 -135 -165 0
130 6 143 0
-8 -64 47 0
8 154 12 0
-8 -111 -3 0
8 -123 80 0
-8 132 -166 0
-59 -8 -167 0
-8 56 -75 0
8 -129 -47 0
-8 33 -13 0
-8 165 -105 0
8 -78 75 0
-8 58 -108 0
-102 -8 154 0
8 41 -22 0
-9 -154 -130 0
-102 -9 82 0
92 9 155 0
9 98 -65 0
-9 -12 -135 0
9 -81 -90 0
9 -61 -164 0
-9 168 62 0
-9 -117 150 0
-92 9 -126 0
9 167 -89 0
-103 10 89 0
-118 10 -6 0
-10 -3 -67 0
57 10 106 0
-10 -49 -39 0
126 10 -82 0
-10 -165 90 0
84 10 30 0
51 10 45 0
70 10 -12 0
-10 -63 38 0
10 123 29 0
-103 10 -11 0
-136 10 -22 0
-11 21 91 0
-11 133 115 0
11 66 97 0
-118 11 -72 0
76 11 67 0
-49 -11 80 0
110 11 99 0
-11 21 -99 0
145 11 -96 0
-2 -11 105 0
-11 166 52 0
-11 -5 -45 0
-11 115 -82 0
11 55 -121 0
49 11 6 0
-42 -12 -52 0
-35 12 -157 0
-12 13 -74 0
12 120 142 0
-9 -12 -135 0
-116 12 65 0
55 -12 53 0
154 -12 -158 0
48 12 -52 0
-12 13 -74 0
137 13 -67 0
133 -13 114 0
18 -14 -104 0
16 -14 6 0
