p cnf 160 680
1 -10 131 0
1 -58 -124 0
-1 -49 83 0
1 -146 -55 0
1 -100 11 0
1 -160 -113 0
59 -1 106 0
-1 -94 -104 0
1 -70 18 0
1 -35 13 0
-1 124 114 0
-1 -71 74 0
-2 107 157 0
-2 80 -53 0
-2 156 -5 0
2 27 -158 0
2 158 -112 0
2 -5 104 0
-2 -41 147 0
59 -3 -66 0
129 3 -75 0
3 -86 -66 0
-109 -3 -55 0
-3 142 45 0
-155 -3 -5 0
127 3 -141 0
-86 -3 -23 0
-27 -3 91 0
16 -3 143 0
3 -116 -30 0
50 3 122 0
-3 5 -90 0
146 -3 -20 0
109 3 138 0
-85 -4 46 0
9 4 13 0
-25 -4 -75 0
4 -46 14 0
-27 4 -104 0
-26 -4 -151 0
-42 5 66 0
49 5 -52 0
-5 -96 67 0
-27 -5 -158 0
-3 5 -90 0
43 -5 -30 0
2 -5 104 0
-50 5 -67 0
-10 6 151 0
-6 -52 -37 0
24 6 105 0
-143 7 151 0
-144 8 -27 0
8 115 -60 0
-8 -53 -105 0
8 49 6 0
8 -18 -36 0
-8 -144 3 0
-8 -84 45 0
-8 -87 -52 0
119 8 39 0
8 -43 20 0
-8 68 -156 0
9 81 -15 0
9 71 -13 0
-9 31 -15 0
93 9 -151 0
-9 69 -78 0
-103 -9 -72 0
9 -159 -134 0
-9 83 37 0
9 4 13 0
9 -32 -101 0
76 9 -89 0
9 148 -6 0
9 -138 124 0
9 131 146 0
119 -9 112 0
-58 -9 6 0
1 -10 131 0
10 -81 -113 0
-10 -11 133 0
10 -72 61 0
-10 -79 -149 0
-10 -56 -63 0
-10 -38 -99 0
-51 -10 -125 0
-10 6 151 0
-10 -143 67 0
58 -10 -120 0
-153 -10 81 0
10 116 121 0
76 10 -56 0
10 48 -5 0
16 -10 -156 0
-10 28 7 0
108 -10 -26 0
-10 -11 133 0
57 11 -29 0
-11 86 -158 0
153 -11 -97 0
129 11 61 0
152 11 -20 0
-85 11 38 0
-11 -109 83 0
11 88 -143 0
-11 -138 -6 0
59 -11 138 0
69 -12 -107 0
-12 132 -90 0
155 -12 -105 0
-136 -12 134 0
-12 121 66 0
12 122 -151 0
-12 -62 -66 0
-144 -12 45 0
119 -12 -143 0
-124 12 -158 0
119 -12 -148 0
32 13 105 0
87 13 -31 0
-27 13 114 0
-119 -13 -90 0
33 -13 -114 0
13 -61 -44 0
-88 13 30 0
-119 14 159 0
-14 135 143 0
68 14 7 0
99 -15 -37 0
-152 -15 -90 0
16 -121 7 0
-59 -16 -156 0
-68 16 114 0
59 -16 135 0
126 -16 -159 0
16 105 -90 0
16 -3 143 0
16 -113 90 0
16 -10 -156 0
-103 -16 30 0
17 103 28 0
17 137 -91 0
-17 98 112 0
-17 -117 21 0
-17 98 97 0
-17 124 -151 0
17 131 151 0
-17 157 -158 0
-17 -87 -151 0
-17 136 -29 0
56 -18 -134 0
51 -18 -36 0
-59 -18 46 0
-85 -18 -65 0
-116 18 97 0
8 -18 -36 0
68 18 21 0
76 18 -149 0
-18 -65 88 0
19 -122 151 0
68 -19 -64 0
111 -19 -133 0
19 -156 73 0
117 -19 -82 0
19 -101 140 0
19 57 -30 0
-118 -19 -61 0
19 -155 -33 0
-19 -132 -36 0
19 -56 133 0
-43 19 -53 0
71 20 13 0
119 -20 -132 0
-100 -20 135 0
-41 -20 -142 0
153 20 140 0
146 -20 -15 0
127 -21 -96 0
-24 -21 44 0
79 21 -148 0
21 -65 121 0
-21 -159 82 0
71 21 -159 0
-145 21 -120 0
72 21 47 0
81 22 45 0
139 23 -121 0
-117 23 -150 0
-23 -53 -112 0
-101 23 82 0
-43 23 159 0
-24 -108 82 0
-24 -21 44 0
93 -24 154 0
-24 55 158 0
24 -88 -120 0
-136 24 -97 0
144 -24 148 0
-24 32 115 0
24 146 -96 0
-93 -24 -7 0
24 139 -54 0
24 6 105 0
51 -24 -35 0
-93 -24 160 0
24 -128 140 0
25 -155 -98 0
-144 25 -41 0
-25 -140 107 0
152 25 91 0
-25 -4 -75 0
-144 25 -113 0
25 78 122 0
-25 -147 -140 0
-25 -54 -83 0
-84 -26 73 0
111 26 80 0
40 26 159 0
-26 54 -66 0
-51 -26 101 0
49 26 -75 0
70 -26 -82 0
-26 107 -22 0
110 -26 -159 0
160 -26 -75 0
-26 -98 143 0
26 -130 141 0
108 26 -105 0
26 -72 142 0
-26 -4 -151 0
26 31 67 0
-27 -5 -158 0
-27 13 114 0
-27 -3 91 0
-92 -27 -113 0
-117 -27 -45 0
2 27 -158 0
27 -115 46 0
27 -124 142 0
-27 37 82 0
-27 4 -104 0
-27 -148 104 0
49 27 133 0
-126 28 120 0
122 28 -82 0
40 28 -75 0
-87 28 -83 0
108 -28 140 0
-69 28 -30 0
-10 28 7 0
-47 28 7 0
-87 29 -65 0
144 -29 -134 0
-92 29 -30 0
-125 29 -6 0
-133 -30 45 0
-9 31 -15 0
-124 31 97 0
128 -31 -121 0
110 31 143 0
-124 31 142 0
26 31 67 0
-32 -138 -47 0
92 -32 -140 0
32 13 105 0
-32 -123 -31 0
32 63 -73 0
-32 -49 130 0
32 94 157 0
-24 32 115 0
