p cnf 160 680
1 -148 134 0
-1 94 141 0
1 -40 62 0
-129 -1 29 0
1 -128 -39 0
1 99 -113 0
-1 -131 -65 0
-1 -61 -112 0
-1 100 140 0
1 -60 -7 0
-1 49 -156 0
1 43 -4 0
-1 109 6 0
-43 1 -126 0
1 -136 -149 0
-1 -157 114 0
-58 1 -104 0
-58 2 88 0
-2 64 -52 0
49 -2 -62 0
76 -2 142 0
128 2 -30 0
35 -2 65 0
-58 2 -30 0
-84 2 88 0
-84 2 151 0
-2 -94 133 0
-68 -2 -96 0
-2 54 -83 0
2 115 65 0
-3 -96 -151 0
-51 3 -30 0
-152 3 120 0
3 66 90 0
81 -4 36 0
154 -4 39 0
-4 99 143 0
-95 4 141 0
4 -66 82 0
-34 -4 -121 0
-35 -4 75 0
33 -4 -62 0
123 4 36 0
86 5 -134 0
146 -5 135 0
-99 -5 -158 0
146 5 -80 0
-94 5 -107 0
39 -5 -121 0
-148 5 82 0
5 135 30 0
101 5 -151 0
69 6 -90 0
-81 6 83 0
38 6 -66 0
-8 -81 88 0
-8 24 -105 0
-8 59 148 0
8 63 159 0
8 -69 -86 0
8 72 88 0
-8 -138 -22 0
-152 8 112 0
-8 34 124 0
-8 -117 41 0
8 145 -78 0
-8 24 23 0
8 -27 -87 0
9 124 -90 0
9 134 -37 0
-17 -9 86 0
-9 55 45 0
9 -71 61 0
144 9 11 0
9 -40 -62 0
-118 9 12 0
9 -155 149 0
17 -9 -101 0
-9 14 -90 0
-9 58 -63 0
-25 9 124 0
9 -156 28 0
-10 -60 142 0
-10 117 -134 0
-10 57 -11 0
-144 -10 -3 0
-84 10 60 0
10 81 157 0
117 10 -113 0
-17 -10 -121 0
-10 -57 -112 0
-10 -138 30 0
17 11 -48 0
11 62 158 0
-144 -11 -14 0
-131 11 -7 0
-109 11 -124 0
79 11 53 0
-117 -11 -45 0
40 -11 -107 0
-35 -11 -18 0
-11 81 67 0
128 11 22 0
11 -79 -150 0
42 11 98 0
-26 11 -75 0
-70 -11 142 0
-144 -11 157 0
94 -11 -107 0
-11 55 -15 0
11 -63 -150 0
-11 41 142 0
-11 -14 -113 0
-26 12 6 0
-50 12 -140 0
-68 12 -106 0
32 12 -104 0
-12 -21 -90 0
-12 -31 121 0
-78 -12 114 0
-129 12 104 0
12 158 134 0
69 -13 -132 0
13 158 90 0
13 44 113 0
123 -14 -52 0
-128 -14 -134 0
128 -14 134 0
-9 14 -90 0
-11 -14 -113 0
119 15 142 0
76 16 -111 0
-16 -73 -52 0
16 103 140 0
16 -43 66 0
16 20 -54 0
16 43 -70 0
16 -128 -3 0
16 116 -74 0
16 -50 -48 0
17 11 -48 0
-119 -17 143 0
127 -17 96 0
-17 -80 -66 0
-17 95 61 0
17 -87 -79 0
17 -152 -21 0
17 -50 123 0
-17 -112 60 0
-17 -9 86 0
-17 133 -143 0
17 154 61 0
-17 -10 -121 0
17 88 -6 0
17 74 -23 0
17 84 18 0
17 -9 -101 0
131 18 60 0
-18 56 -44 0
-18 156 -23 0
18 48 107 0
-118 -18 36 0
24 -18 134 0
34 18 -122 0
-117 18 -31 0
137 18 99 0
136 18 -138 0
-18 133 -30 0
146 -18 53 0
-18 36 22 0
19 27 112 0
-92 -19 -62 0
-19 141 -142 0
145 19 150 0
119 -19 21 0
19 -78 -60 0
51 19 87 0
19 106 159 0
160 -20 45 0
16 20 -54 0
-101 20 150 0
123 20 159 0
21 -65 -134 0
-153 -21 159 0
-111 -21 -23 0
-12 -21 -90 0
-21 -73 -45 0
152 21 12 0
-85 21 -151 0
-136 -22 -151 0
90 22 67 0
-55 22 -75 0
-70 -23 105 0
99 23 -91 0
27 23 142 0
51 23 -150 0
-153 -23 -82 0
-24 -54 -132 0
-8 24 -105 0
-84 -24 -80 0
-24 -116 134 0
24 -38 107 0
24 -98 -112 0
24 -18 134 0
-24 -92 15 0
-24 -78 -138 0
-24 -63 -13 0
128 -24 157 0
24 -31 61 0
24 -47 114 0
24 -80 67 0
-24 -73 36 0
-8 24 23 0
51 24 43 0
25 123 47 0
25 92 88 0
-25 -85 -79 0
-25 130 -66 0
25 -103 -50 0
-25 68 63 0
-25 -66 158 0
-25 131 134 0
25 92 89 0
25 -132 15 0
-25 9 124 0
42 25 155 0
-26 12 6 0
26 -122 7 0
85 -26 4 0
-26 47 -90 0
-26 11 -75 0
-43 26 -134 0
153 26 -121 0
19 27 112 0
-27 -86 143 0
127 -27 48 0
27 -86 155 0
-27 -133 -15 0
27 23 142 0
-144 -27 -15 0
-27 -41 88 0
8 -27 -87 0
43 -28 -151 0
35 -28 -97 0
-48 -28 82 0
28 -149 15 0
-29 -122 -105 0
87 29 -90 0
103 29 -134 0
-71 -29 -55 0
-29 -61 45 0
48 29 -14 0
-131 -30 -7 0
73 31 -97 0
-62 -31 -135 0
-12 -31 121 0
24 -31 61 0
107 -31 159 0
-32 -147 -80 0
-85 -32 60 0
32 -86 15 0
32 12 -104 0
-32 46 -47 0
-32 -109 133 0
-70 -32 -80 0
50 -32 139 0
-58 -32 99 0
32 160 159 0
-154 -32 -133 0
153 -32 133 0
33 74 -134 0
-153 -33 134 0
33 107 112 0
-144 33 -45 0
33 101 -18 0
33 -4 -62 0
-33 -91 30 0
-33 -124 -141 0
-34 114 -44 0
-34 -40 52 0
-34 148 133 0
34 -136 -67 0
-34 -35 -117 0
34 122 -132 0
-34 136 -134 0
34 -153 -79 0
34 18 -122 0
34 -117 63 0
-34 -136 113 0
-34 -4 -121 0
-8 34 124 0
-144 -35 -131 0
35 74 -142 0
-34 -35 -117 0
35 -28 -97 0
-137 -35 -47 0
35 -2 65 0
35 99 -105 0
35 157 96 0
-35 -11 -18 0
-35 -133 -23 0
119 -35 12 0
-35 -4 75 0
-35 96 -52 0
35 -154 -80 0
-35 122 37 0
-144 35 1 0
-124 36 143 0
-96 -36 -90 0
-44 -36 -105 0
-18 36 22 0
24 -38 107 0
38 -39 82 0
-64 -38 -6 0
38 6 -66 0
55 38 142 0
-64 -39 -104 0
149 -39 -36 0
38 -39 82 0
-133 -39 -36 0
85 -39 65 0
-39 -44 67 0
141 -39 -66 0
39 -5 -121 0
-34 -40 52 0
40 -116 -63 0
1 -40 62 0
40 99 -15 0
-40 72 97 0
40 -11 -107 0
136 40 -39 0
9 -40 -62 0
-40 -70 -147 0
-154 41 -90 0
