p cnf 155 659
1 -2 82 0
59 -1 125 0
1 -131 -120 0
1 19 4 0
119 -1 -97 0
51 -1 100 0
1 -145 107 0
-127 -1 135 0
1 130 66 0
-1 4 -132 0
1 136 122 0
2 130 113 0
1 -2 82 0
2 106 -142 0
-42 2 -74 0
25 2 -5 0
2 -29 -47 0
129 -2 116 0
-2 133 -22 0
-138 -3 -90 0
144 -3 122 0
3 -148 -5 0
3 116 113 0
-111 3 149 0
19 3 82 0
-118 3 20 0
127 -3 88 0
-3 64 114 0
3 101 83 0
126 -3 73 0
-19 -4 -90 0
95 4 -141 0
-42 -4 -122 0
-71 4 44 0
70 4 -112 0
4 88 66 0
124 -4 46 0
-1 4 -132 0
4 96 -142 0
-33 -4 135 0
63 5 20 0
76 5 82 0
-5 121 -36 0
-43 5 134 0
-98 5 23 0
115 5 23 0
29 -5 96 0
107 -5 -112 0
-147 -5 -83 0
-87 -6 7 0
-20 6 -45 0
-115 -6 -22 0
-108 6 60 0
-69 -6 60 0
-138 -7 -120 0
-8 59 99 0
8 -69 151 0
-8 -117 -37 0
8 13 -96 0
-8 -123 62 0
-8 72 -120 0
8 149 -88 0
-8 49 22 0
8 -93 -15 0
-8 137 83 0
8 140 28 0
8 -118 141 0
-8 60 -37 0
8 -35 149 0
8 24 30 0
-8 25 -23 0
8 57 -109 0
-129 9 33 0
9 133 134 0
-85 -9 49 0
9 88 -140 0
9 32 105 0
9 -63 74 0
-9 10 -79 0
-35 9 94 0
-9 -143 -53 0
119 9 -73 0
103 10 89 0
-129 -10 79 0
10 13 112 0
126 10 67 0
10 -89 36 0
-84 -10 -37 0
10 124 -97 0
-10 113 112 0
126 -10 123 0
-9 10 -79 0
10 18 -82 0
27 10 75 0
110 11 -23 0
-11 -62 96 0
118 11 133 0
125 -11 89 0
11 -88 151 0
-11 -46 60 0
-139 -11 -99 0
59 -11 -46 0
146 12 44 0
-50 -12 44 0
51 -12 -149 0
101 -12 6 0
-12 -54 -90 0
-12 -73 -105 0
-50 -12 4 0
56 -12 90 0
59 12 -67 0
123 12 -44 0
71 12 73 0
43 -12 -105 0
8 13 -96 0
-48 13 45 0
-87 13 14 0
-138 -13 -82 0
103 13 112 0
10 13 112 0
103 -13 120 0
-94 -13 -66 0
-89 13 82 0
46 -14 134 0
77 14 -134 0
-14 96 -150 0
-14 91 -52 0
-89 -14 -105 0
128 -15 -134 0
16 -41 -81 0
-102 16 -115 0
16 -50 -112 0
16 -154 -73 0
129 -16 -82 0
-16 19 54 0
-16 79 75 0
-17 35 45 0
-17 91 44 0
-17 -112 37 0
17 26 -109 0
-17 -66 -15 0
-17 -35 -113 0
-76 -18 73 0
130 -18 -21 0
-137 18 149 0
117 -18 135 0
77 18 101 0
-144 -18 -14 0
-18 -74 -45 0
10 18 -82 0
-19 -4 -90 0
-19 -155 -30 0
-19 73 -28 0
-19 -66 -83 0
1 19 4 0
-19 -155 65 0
34 -19 -91 0
-16 19 54 0
-19 38 72 0
19 -147 105 0
19 3 82 0
19 -79 47 0
119 -19 -75 0
-19 123 60 0
-129 -20 74 0
155 -20 31 0
-101 20 -36 0
47 -20 -60 0
-20 6 -45 0
55 20 -23 0
101 20 53 0
62 -20 -135 0
-144 20 -45 0
46 -20 44 0
-70 -21 143 0
-21 62 36 0
78 -21 12 0
147 -21 52 0
21 150 143 0
21 134 -75 0
71 -21 -65 0
71 -23 -67 0
-138 -23 120 0
109 -23 7 0
-132 23 135 0
-24 40 56 0
-129 -24 -32 0
24 -79 -142 0
24 147 -142 0
-24 -78 6 0
-24 -48 -149 0
8 24 30 0
-24 -87 -14 0
-25 117 -6 0
25 -55 -37 0
25 2 -5 0
-25 -44 151 0
-25 119 45 0
25 69 30 0
-25 64 37 0
-8 25 -23 0
-25 127 151 0
-25 89 -135 0
102 -26 60 0
103 26 -74 0
111 -26 -151 0
-93 26 -89 0
-26 -112 30 0
-26 65 -83 0
17 26 -109 0
84 -26 134 0
-26 89 39 0
126 -27 148 0
-27 31 -7 0
-27 132 67 0
-27 -32 -112 0
-27 86 -99 0
27 -121 52 0
-27 63 91 0
-27 -132 -66 0
145 -27 -6 0
-27 138 151 0
27 63 64 0
27 133 53 0
-59 -27 -73 0
27 10 75 0
27 -106 113 0
-28 -99 14 0
-28 47 52 0
129 28 -143 0
-28 -60 52 0
-29 135 -37 0
-92 29 13 0
42 -29 104 0
2 -29 -47 0
29 -5 96 0
30 82 142 0
-131 -30 -37 0
131 -31 -37 0
-27 31 -7 0
118 31 -23 0
-79 31 83 0
79 -31 -23 0
-139 31 -30 0
85 31 -37 0
-145 -32 -101 0
32 107 -112 0
126 32 123 0
-27 -32 -112 0
76 32 -105 0
32 116 132 0
32 -66 30 0
9 32 105 0
32 48 -20 0
-32 -130 64 0
-84 -33 83 0
-33 -141 -142 0
-76 33 -13 0
-139 33 -97 0
136 -33 5 0
-129 33 -55 0
43 33 23 0
-125 -33 -5 0
-33 -4 135 0
-33 -64 -14 0
34 77 -122 0
34 55 132 0
-34 50 -92 0
59 -34 -50 0
-34 -103 -112 0
-34 -70 64 0
34 -19 -91 0
34 -94 -53 0
-34 152 -28 0
34 -48 -67 0
-34 88 -151 0
34 -147 135 0
-17 35 45 0
-59 35 134 0
35 37 -75 0
-58 -35 -96 0
35 43 -104 0
35 43 -111 0
8 -35 149 0
35 69 -2 0
136 -35 10 0
-17 -35 -113 0
-35 9 94 0
-48 36 -90 0
86 36 -90 0
35 37 -75 0
-76 37 90 0
-138 37 -97 0
124 38 135 0
-38 -62 -30 0
111 -38 135 0
138 38 -55 0
131 38 7 0
-38 54 -45 0
-19 38 72 0
-48 39 -151 0
39 -107 -75 0
92 -39 -66 0
-126 -40 -99 0
-24 40 56 0
40 133 150 0
50 -40 75 0
-42 -40 33 0
118 40 30 0
-119 -40 15 0
40 -89 61 0
-110 -40 54 0
-86 41 -30 0
16 -41 -81 0
-41 -106 -73 0
-41 73 -97 0
-57 -41 31 0
-84 41 81 0
49 41 -91 0
116 41 -114 0
-41 -148 -36 0
-41 116 -148 0
42 -108 -124 0
-42 -4 -122 0
-42 118 -64 0
42 107 61 0
-42 2 -74 0
-42 -40 33 0
42 -29 104 0
42 123 -83 0
110 43 -63 0
-43 -70 106 0
-43 124 -3 0
-43 73 -15 0
43 -57 113 0
-43 -101 138 0
-43 -113 14 0
-43 5 134 0
35 43 -104 0
43 100 65 0
35 43 -111 0
-43 -81 -37 0
43 33 23 0
43 -12 -105 0
144 43 -142 0
-78 -44 23 0
101 44 -75 0
-145 -44 -142 0
-103 44 120 0
-25 -44 151 0
-146 -45 -30 0
71 -45 97 0
49 46 -142 0
