p cnf 150 638
1 147 -12 0
103 -1 -120 0
-1 3 101 0
-68 1 92 0
-1 -108 -96 0
1 77 143 0
-1 -147 -28 0
1 -101 90 0
1 -12 -134 0
129 -1 -4 0
1 23 -53 0
1 146 -120 0
-1 55 -28 0
1 41 -89 0
2 -106 -52 0
145 -2 7 0
2 124 -31 0
-24 2 -135 0
-136 2 109 0
-2 -26 141 0
2 100 -75 0
-42 -3 -121 0
-1 3 101 0
116 -3 106 0
102 -3 67 0
-146 -3 134 0
-26 3 -96 0
33 -3 -94 0
35 3 -13 0
87 -3 122 0
3 -67 -22 0
68 5 30 0
40 -5 -150 0
103 5 -54 0
39 5 -75 0
-5 -45 105 0
51 -5 52 0
-32 -5 -37 0
129 6 -75 0
-31 -6 14 0
-81 6 -23 0
-62 7 -90 0
-8 -128 15 0
8 -130 -91 0
85 8 14 0
8 101 105 0
8 126 142 0
-8 47 -30 0
-8 10 37 0
8 -78 135 0
-8 -30 -82 0
-8 12 -150 0
-9 62 -120 0
-9 141 -45 0
-9 141 -61 0
92 9 96 0
-51 -9 -40 0
-9 -132 -37 0
9 -141 81 0
9 -130 113 0
-9 -24 66 0
9 27 94 0
17 -9 150 0
-9 125 -121 0
-84 -10 -109 0
58 10 -23 0
-10 -140 -82 0
-10 72 -67 0
51 10 -6 0
-128 10 -104 0
58 10 142 0
-10 148 -65 0
10 72 -38 0
128 -10 -95 0
10 81 -114 0
10 -38 120 0
-84 -10 -122 0
-8 10 37 0
144 10 -45 0
-145 10 -107 0
-11 79 -123 0
-11 -107 82 0
11 56 4 0
-11 88 -142 0
-11 -31 -37 0
-11 -30 -134 0
59 -11 -4 0
11 122 -20 0
57 -11 -38 0
-11 -83 121 0
-11 29 46 0
11 29 -75 0
-11 -101 -105 0
11 -132 -104 0
131 -12 143 0
12 54 30 0
100 12 114 0
12 143 -112 0
-119 -12 62 0
1 -12 -134 0
-98 -12 81 0
-137 -12 -60 0
18 -12 91 0
-8 12 -150 0
-12 -83 -75 0
127 12 -14 0
89 12 104 0
-13 28 -142 0
-55 -13 5 0
-133 13 -60 0
76 -14 61 0
-87 -14 -6 0
-81 14 -7 0
62 -14 82 0
-109 -14 44 0
-63 -15 112 0
-92 -15 45 0
-16 71 44 0
-16 72 -65 0
16 133 -47 0
-119 16 58 0
16 -81 -47 0
-102 -16 57 0
-16 49 -38 0
16 -29 -36 0
-25 16 44 0
16 124 -72 0
16 98 -121 0
-16 -86 -53 0
-16 -61 22 0
-16 88 113 0
111 -16 22 0
16 -73 -36 0
16 -61 31 0
-16 -62 -22 0
17 -84 -130 0
34 17 141 0
17 123 37 0
-17 123 -90 0
17 119 -81 0
17 -9 150 0
-17 -89 36 0
129 18 90 0
117 -18 123 0
100 18 48 0
59 18 72 0
111 -18 81 0
87 18 -66 0
18 107 -112 0
-109 -18 -30 0
-131 18 63 0
18 -12 91 0
-18 -113 -142 0
19 -45 90 0
-144 19 18 0
-19 106 -141 0
19 -20 -74 0
19 -21 -142 0
19 -54 -142 0
-145 20 104 0
-38 20 23 0
118 20 149 0
123 20 74 0
-49 -20 -5 0
19 -20 -74 0
42 21 -7 0
-115 -21 -62 0
-147 -21 -45 0
21 149 45 0
126 21 121 0
-118 21 12 0
21 140 30 0
-50 21 -52 0
19 -21 -142 0
-68 -21 99 0
23 -97 7 0
1 23 -53 0
-86 23 142 0
85 23 -134 0
-129 23 -74 0
24 -131 -21 0
24 140 -91 0
24 109 -56 0
24 62 15 0
-24 2 -135 0
-24 105 -90 0
24 -78 148 0
-24 89 -5 0
-9 -24 66 0
-110 -24 89 0
-69 24 -123 0
25 86 47 0
-42 25 -91 0
-25 -91 120 0
-25 105 45 0
25 35 -70 0
-25 35 -117 0
25 128 71 0
-25 78 21 0
25 138 39 0
25 145 135 0
25 147 -116 0
-25 16 44 0
-25 -86 -12 0
-25 56 -88 0
-25 124 -45 0
25 126 -133 0
25 104 -7 0
25 103 20 0
-25 42 49 0
-25 -81 -149 0
-125 -26 148 0
-26 -89 -31 0
-26 -83 7 0
127 -26 21 0
-26 3 -96 0
-87 26 -150 0
49 26 -33 0
-2 -26 141 0
-26 141 30 0
26 -38 -107 0
128 -26 -90 0
-26 107 14 0
-57 -27 150 0
27 79 86 0
9 27 94 0
-13 28 -142 0
106 -28 143 0
-149 28 -97 0
68 28 -149 0
