p cnf 170 723
1 43 -106 0
1 124 56 0
-1 118 22 0
-1 -123 -82 0
1 -162 -138 0
-58 -1 66 0
-1 -50 -154 0
-1 150 -97 0
16 1 135 0
-1 9 -31 0
1 -4 113 0
-1 141 -120 0
-1 -49 -125 0
1 170 -45 0
-131 -2 11 0
2 149 -159 0
2 55 -14 0
-2 -56 -67 0
-2 165 -121 0
102 2 -90 0
51 2 -138 0
-2 -29 -167 0
-59 2 -5 0
2 -46 -65 0
-2 -133 -166 0
-2 -147 23 0
-144 3 123 0
-27 -3 112 0
3 -21 157 0
161 3 -165 0
76 3 66 0
43 3 -123 0
-162 3 56 0
-119 -3 120 0
4 5 97 0
-4 149 74 0
95 -4 -61 0
-4 53 -158 0
160 4 36 0
32 4 47 0
-34 4 -167 0
125 4 -74 0
1 -4 113 0
4 165 159 0
-42 -5 -23 0
4 5 97 0
-29 5 -22 0
156 5 37 0
-169 5 114 0
39 6 -159 0
-28 6 -134 0
-127 7 -134 0
-85 8 141 0
-110 8 -105 0
8 -130 -13 0
8 -153 104 0
8 -153 -15 0
-8 -131 38 0
8 116 141 0
-8 85 112 0
-8 -79 -166 0
-8 122 -151 0
8 155 -82 0
-8 108 -29 0
-8 19 -105 0
8 -138 -47 0
8 149 -13 0
8 11 -31 0
129 8 84 0
92 9 40 0
59 9 -73 0
-9 -11 115 0
-9 -50 -123 0
35 9 136 0
-51 -9 -128 0
-1 9 -31 0
-59 9 -142 0
-9 -116 21 0
-163 10 -160 0
-87 -10 -63 0
153 10 -142 0
-10 -78 -13 0
-10 -146 -116 0
10 73 -83 0
-10 74 159 0
111 10 -26 0
-59 -10 101 0
-162 -10 27 0
-139 -10 -56 0
10 -146 -65 0
-10 -123 -66 0
27 10 -18 0
127 -11 -37 0
-11 160 149 0
-9 -11 115 0
93 11 -31 0
-51 -11 -89 0
-128 11 -60 0
-102 11 165 0
8 11 -31 0
48 -11 158 0
-95 -11 -166 0
11 83 -45 0
-94 -12 123 0
162 12 -6 0
-12 -55 -13 0
93 12 -166 0
-27 -12 53 0
-12 104 -53 0
18 12 -88 0
-116 12 -75 0
-13 104 -105 0
63 -13 -122 0
17 13 105 0
13 -149 -120 0
-63 -13 -66 0
13 157 -66 0
-89 14 -60 0
91 -14 74 0
-167 -14 134 0
122 14 22 0
-65 14 -165 0
141 14 -7 0
-101 -15 -120 0
59 -16 -107 0
16 72 64 0
16 -89 150 0
-102 -16 -160 0
-16 49 -96 0
16 -154 -95 0
-16 -131 36 0
-16 -78 67 0
16 19 60 0
16 50 -91 0
102 -16 -159 0
-16 149 96 0
16 101 -89 0
-16 -35 -11 0
16 1 135 0
-16 78 -116 0
-16 -66 -14 0
17 -138 36 0
17 75 134 0
17 -18 -63 0
-17 -70 55 0
93 -17 -1 0
127 17 -151 0
17 -137 87 0
17 -162 -67 0
17 -136 65 0
17 -81 -83 0
17 -40 -168 0
17 13 105 0
17 -163 50 0
-119 17 -106 0
-17 162 -28 0
17 -32 6 0
17 -20 -151 0
17 -18 -63 0
-49 -18 122 0
32 18 91 0
-18 63 -7 0
18 12 -88 0
76 -18 116 0
40 18 -164 0
-92 -18 -122 0
18 -124 -81 0
-18 -132 -121 0
154 18 6 0
43 -19 -49 0
144 19 22 0
129 -19 107 0
16 19 60 0
-102 -19 -165 0
-8 19 -105 0
-19 117 139 0
19 -156 -164 0
34 20 -142 0
-92 20 140 0
34 20 -74 0
118 20 -96 0
-20 -107 75 0
17 -20 -151 0
144 21 -53 0
21 -164 -7 0
3 -21 157 0
147 21 81 0
21 -89 -165 0
-72 -21 -30 0
40 -21 -133 0
21 105 -45 0
120 22 -7 0
80 23 -60 0
157 -23 -15 0
24 95 -100 0
-24 55 -37 0
-103 24 -30 0
-24 -78 168 0
-24 -56 62 0
24 -155 7 0
126 -24 -109 0
-145 24 149 0
145 24 101 0
110 -24 -30 0
-24 133 151 0
25 -162 26 0
25 48 121 0
-25 77 -75 0
-25 -144 87 0
119 25 150 0
-25 -70 13 0
-25 -109 165 0
-25 57 120 0
26 61 -90 0
102 26 14 0
26 -165 -104 0
-93 26 62 0
146 26 121 0
-32 27 70 0
27 91 -75 0
-27 -3 112 0
125 27 66 0
27 -132 -159 0
-110 27 -155 0
-27 46 -99 0
-27 -48 -31 0
93 -27 62 0
-27 -12 53 0
-27 -157 -53 0
27 28 -120 0
27 10 -18 0
