p cnf 150 638
8 1 -99 0
-1 -70 -130 0
-1 -3 52 0
-1 58 -5 0
-1 112 45 0
-42 2 63 0
2 125 -114 0
-2 63 7 0
2 148 -80 0
-100 -2 -104 0
-2 94 -148 0
2 122 -75 0
147 -3 61 0
-78 -3 73 0
-138 3 -96 0
-16 -3 -12 0
125 3 -97 0
58 3 -114 0
51 3 -46 0
-3 114 31 0
-1 -3 52 0
3 -81 -44 0
-49 -3 -122 0
3 38 -143 0
-102 -4 -36 0
-4 -149 104 0
-138 4 -80 0
119 4 -149 0
-95 4 104 0
79 4 38 0
94 -4 -99 0
78 4 64 0
-117 4 -91 0
145 5 -28 0
-76 -5 -53 0
5 -44 120 0
-46 5 -66 0
5 80 74 0
16 -5 -150 0
107 5 36 0
11 5 -73 0
85 -5 -121 0
19 -6 45 0
77 6 97 0
-25 6 44 0
42 -6 -105 0
-24 6 22 0
95 6 31 0
110 6 -52 0
-18 7 -97 0
8 -43 61 0
8 -116 -12 0
-8 -100 -130 0
-8 127 -96 0
8 56 -52 0
8 1 -99 0
-8 123 73 0
-8 50 20 0
-8 87 37 0
8 16 1 0
-68 8 -23 0
8 -56 -54 0
8 28 53 0
8 -118 149 0
-9 -48 -37 0
-9 -130 97 0
9 -64 88 0
9 -79 65 0
-9 101 -147 0
9 -77 -101 0
9 14 -75 0
-9 -116 113 0
-118 9 -61 0
145 9 -26 0
-9 -112 67 0
68 9 89 0
-9 86 -88 0
125 10 72 0
10 23 90 0
70 10 124 0
-10 141 -7 0
10 -108 -91 0
110 -10 -44 0
118 -10 -95 0
-128 10 -78 0
-10 -48 -38 0
-10 104 113 0
-10 20 121 0
-10 140 62 0
10 -95 -31 0
77 11 -13 0
68 11 12 0
119 -11 -7 0
11 5 -73 0
-136 -11 -89 0
-103 11 7 0
-93 -11 86 0
-127 11 96 0
11 -38 -75 0
-40 12 -73 0
144 -12 -44 0
-139 -12 63 0
111 -12 -30 0
-117 -12 74 0
12 -122 -149 0
147 12 -39 0
-51 -13 -36 0
-19 -13 -23 0
-35 13 -14 0
-103 13 -149 0
125 14 75 0
-14 105 -22 0
9 14 -75 0
102 -14 -120 0
31 14 -90 0
-63 -14 36 0
103 -14 -52 0
-82 15 -75 0
-24 -16 -20 0
16 -32 23 0
16 -21 60 0
-16 -3 -12 0
16 -31 -22 0
50 -16 87 0
8 16 1 0
16 -5 -150 0
16 -41 88 0
16 147 113 0
16 65 62 0
110 -17 60 0
-137 -17 -127 0
-17 -38 -120 0
-17 -69 -61 0
17 -85 10 0
17 147 -101 0
17 -145 96 0
-17 -113 83 0
17 57 12 0
17 -78 55 0
17 -84 -50 0
-17 50 104 0
-17 -84 54 0
18 150 97 0
-129 18 44 0
136 18 -91 0
-27 -18 -3 0
-18 7 -97 0
18 123 -83 0
32 -18 -115 0
139 -18 107 0
18 94 -120 0
18 101 -141 0
-18 56 -47 0
19 -98 36 0
19 41 -121 0
-34 19 107 0
19 -6 45 0
-19 41 -61 0
-19 -13 -23 0
19 -124 -94 0
-19 134 105 0
19 27 -147 0
25 19 109 0
19 130 94 0
146 20 120 0
115 20 52 0
136 20 122 0
-27 20 -6 0
-20 143 52 0
20 23 -113 0
-10 20 121 0
35 20 37 0
-125 -21 -36 0
16 -21 60 0
130 21 29 0
21 -99 37 0
-86 -21 113 0
-93 -21 -150 0
-21 -73 -88 0
66 -22 -134 0
50 22 -134 0
53 22 -60 0
10 23 90 0
20 23 -113 0
-24 -16 -20 0
-127 -24 126 0
-24 94 -75 0
-24 27 -81 0
-24 72 64 0
-35 24 21 0
24 103 19 0
145 24 -65 0
76 24 -31 0
-24 -109 45 0
-24 6 22 0
-24 -70 26 0
24 -115 -28 0
-24 145 -81 0
24 -57 -146 0
-25 -78 99 0
-25 109 91 0
-25 -48 149 0
-25 54 150 0
-102 25 -50 0
25 50 134 0
-25 6 44 0
-25 -113 83 0
76 -25 52 0
-25 59 -50 0
25 115 -60 0
25 19 109 0
-26 -99 -53 0
146 -26 -12 0
26 141 -65 0
-26 66 90 0
-26 31 -134 0
-51 26 90 0
70 -26 114 0
76 26 -22 0
-26 -123 5 0
26 -104 -120 0
-70 -26 -104 0
27 -86 82 0
-24 27 -81 0
-27 70 105 0
27 -133 13 0
-93 -27 -96 0
-34 27 29 0
-27 20 -6 0
-27 -18 -3 0
19 27 -147 0
-27 -29 52 0
139 -28 75 0
-63 -28 143 0
-28 97 15 0
8 28 53 0
-89 -28 31 0
-29 73 -20 0
125 -29 -38 0
29 135 -90 0
29 -39 23 0
-35 -29 -72 0
-85 29 -31 0
109 -29 88 0
-27 -29 52 0
70 31 -134 0
-113 31 -150 0
-83 -31 -6 0
16 -31 -22 0
-26 31 -134 0
31 14 -90 0
88 31 67 0
-129 -32 88 0
-50 32 120 0
16 -32 23 0
125 -32 28 0
32 -38 -7 0
68 32 56 0
118 -32 23 0
32 -82 45 0
117 -32 66 0
32 -18 -115 0
33 99 -90 0
40 -33 81 0
-100 33 -55 0
124 -33 15 0
-33 -81 -106 0
-33 105 45 0
34 131 109 0
-34 19 107 0
51 -34 -69 0
-34 27 29 0
34 -86 -149 0
-34 77 -15 0
34 69 -2 0
34 101 63 0
-34 -108 -142 0
35 113 82 0
35 138 114 0
127 35 -29 0
-35 24 21 0
35 55 -149 0
-35 -133 73 0
92 -35 -148 0
35 69 -19 0
-35 -29 -72 0
35 -128 -73 0
-103 35 41 0
35 -148 74 0
-35 13 -14 0
35 70 -134 0
35 20 37 0
-64 -36 -60 0
-132 -36 60 0
-133 36 142 0
-40 37 -22 0
-17 -38 -120 0
32 -38 -7 0
130 38 5 0
-100 38 -22 0
50 38 14 0
127 38 -61 0
-126 38 -4 0
40 -38 150 0
38 39 -113 0
-38 99 -23 0
3 38 -143 0
11 -38 -75 0
110 -39 61 0
95 39 -37 0
115 -39 -96 0
110 -39 -107 0
29 -39 23 0
94 39 -22 0
38 39 -113 0
-40 12 -73 0
-43 -40 123 0
-103 -40 -142 0
40 -33 81 0
40 149 121 0
-40 -147 45 0
40 -78 -148 0
-40 -83 120 0
77 -40 -115 0
-40 37 -22 0
40 -38 150 0
-42 -40 133 0
95 40 -38 0
40 70 -123 0
144 -40 64 0
-40 -78 15 0
-40 132 -107 0
40 70 -63 0
-84 -40 22 0
-41 -72 -45 0
19 41 -121 0
-127 -41 -147 0
48 -41 -30 0
16 -41 88 0
41 -147 -4 0
-19 41 -61 0
-69 41 -98 0
126 41 29 0
42 81 31 0
-42 2 63 0
42 83 -60 0
42 58 87 0
42 -71 11 0
76 42 114 0
42 75 -112 0
42 111 -40 0
42 -6 -105 0
-42 -40 133 0
42 94 -106 0
42 70 141 0
8 -43 61 0
-43 -40 123 0
-43 -132 60 0
43 130 -134 0
-43 -46 132 0
-43 56 64 0
-43 -140 132 0
43 -123 97 0
43 -132 -22 0
43 141 -13 0
5 -44 120 0
128 44 -120 0
-67 -45 -105 0
-83 -45 22 0
137 -46 -140 0
-46 5 -66 0
77 46 -132 0
-130 -46 -62 0
